# HMDB01917 (Digoxin) HNMR Peaklists:
Table of Peaks
No.	(ppm)	(Hz)	Height
18	3.32	1	m	-	41	M07	[3.31 .. 3.35]
19	3.37	1	dd	-	33	M06	[3.36 .. 3.41]
20	3.75	3	m	-	13, 6, 18	M05	[3.74 .. 3.86]
21	4.00	2	m	-	20, 25	M04	[3.99 .. 4.03]
22	4.23	2	quin	-	4, 9	M03	[4.22 .. 4.26]
23	4.88	5	m	-	16, 2, 11, 54	M02	[4.87 .. 5.00]
24	5.90	1	br. s.	-	51	M01	[5.89 .. 5.92]

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	48	0.78	M24
2	46	0.95	M23
3	43	1.20	M22
4	22	1.21	M21
5	42	1.23	M20
6	38	1.25	M19
7	35	1.25	M19
8	34	1.25	M19
9	37	1.43	M18
10	26	1.43	M18
11	34	1.56	M17
12	29	1.56	M17
13	27	1.56	M17
14	36	1.56	M17
15	21	1.69	M16
16	3	1.69	M16
17	39	1.69	M16
18	38	1.69	M16
19	10	1.69	M16
20	37	1.78	M15
21	35	1.85	M14
22	40	1.90	M13
23	21	1.90	M13
24	39	1.97	M12
25	3	2.00	M11
26	10	2.00	M11
27	40	2.11	M10
28	19	3.14	M09
29	5	3.20	M08
30	8	3.20	M08
31	41	3.32	M07
32	33	3.37	M06
33	13	3.75	M05
34	6	3.75	M05
35	18	3.75	M05
36	20	4.00	M04
37	25	4.00	M04
38	4	4.23	M03
39	9	4.23	M03
40	16	4.88	M02
41	2	4.88	M02
42	11	4.88	M02
43	54	4.88	M02
44	51	5.90	M01
 


# HMDB01917 (Digoxin) 2D HSQC Peaklist:
     #     F2[ppm]           F1[ppm]       Intensity       

     1   5.9016          117.6739      3151326.88
     2   4.9590           75.3298      1801231.94
     3   4.9183           75.3298      1912752.97
     4   4.9163          100.6059      4128684.06
     5   4.8860           96.9167      2255064.47
     6  4.2407           68.3789      6297968.03
     7  4.0067           74.3321      3165294.56
     8  4.0057           69.0424      3311331.84
     9  3.8071           69.4111      1320002.25
    10  3.7696           70.7012      1749664.25
    11  3.3829           75.6516      1430327.38
    12  3.3296           47.0721      1621704.00
    13  3.2246           83.6694      3834543.81
    14  3.1467           74.1644      1625686.41
    15  2.1427           28.2456       860035.75
    16  2.0168           38.4975       675765.31
    17  2.0168           39.4520       618430.22
    18  1.9693           33.5130       535337.63
    19  1.9372           38.8863       816234.91
    20  1.9359           28.2456       540034.47
    21  1.8922           27.8568       793923.59
    22  1.8125           30.8263       766262.22
    23  1.7599           38.4975       986670.13
    24  1.7599           22.6601       735238.00
    25  1.7419           33.5130      1398614.97
    26  1.7303           39.2045      1343893.81
    27  1.6635           37.8612      1078922.69
    28  1.6147           27.3972       531051.72
    29  1.6122           42.1386      1068120.00
    30  1.6019           30.8263      1061153.38
    31  1.4824           31.2505      2619656.50
    32  1.4503           31.0384      1055709.06
    33  1.2693           30.8112       548971.97
    34  1.2616           27.8555       556285.03
    35  1.2559           22.6731       425971.53
    36  1.2177           18.5029      4899636.25
    37  0.9501           24.2117      6275189.94
    38  0.7818            9.8385      3588924.38

 


