# HMDB00900 (Ergocalciferol) HNMR Peaklists:
Table of Peaks
No.	(ppm)	Height
     7  3.9479           69.0436     11345242.38
     8  2.8273           28.8874      3338232.50
     9  2.5731           45.8228      4233896.00
    10  2.3977           31.8858      6395393.88
    11  2.2857           45.8228      6497282.00
    12  2.1794           31.8858      6483045.50
    13  2.0191           40.4689      8458955.63
    14  1.9871           40.4689      9621328.75
    15  1.9887           56.3701     10197135.75
    16  1.9198           35.1808      6781358.00
    17  1.8515           42.8192      8739473.00
    18  1.7136           27.8802      5107644.50
    19  1.6852           28.9066      4432367.75
    20  1.6820           35.1845      6505713.00
    21  1.6700           23.5598      6713858.88
    22  1.5353           23.5598      2719357.63
    23  1.4682           33.1555      7696541.25
    24  1.4492           22.2230     10902542.75
    25  1.3221           56.4062      5429781.63
    26  1.3146           40.4865      7340512.25
    27  1.2612           27.8815      2918867.00
    28  1.0167           21.2175     30735812.50
    29  0.9131           17.5907     15891438.75
    30  0.8349           19.8987     36929700.38
    31  0.8207           19.6078     29244128.63
    32  0.5531           12.2767     12753372.25

 


