# HMDB00493 (5a-Androstane-3b,17b-diol) HNMR Peaklists:
Table of Peaks
No.	(ppm)	Height
123	1.94	0.0432
124	1.95	0.0477
125	1.96	0.0452
126	1.96	0.0471
127	1.97	0.0421
128	1.97	0.0432
129	1.98	0.0311
130	1.99	0.0283
131	3.47	0.0194
132	3.48	0.0344
133	3.49	0.0386
134	3.50	0.0584
135	3.51	0.0420
136	3.52	0.0359
137	3.53	0.0274
138	3.53	0.0622
139	3.55	0.1027
140	3.56	0.0602

Table of Multiplets
No.	Shift1 (ppm)	H's	Type	Atom1			Multiplet1	(ppm)
1	0.63		1	m	2			M11		[0.62 .. 0.68]
2	0.72		3	s	19			M10		[0.70 .. 0.74]
3	0.84		3	s	18			M09		[0.83 .. 0.85]
4	0.90		4	m	16, 4, 13, 15		M08		[0.86 .. 1.07]
5	1.09		1	m	9			M07		[1.08 .. 1.16]
6	1.31		8	m	8, 10, 17, 14, 12, 3, 7	M06		[1.19 .. 1.49]
7	1.58		3	m	10, 8, 14		M05		[1.49 .. 1.63]
8	1.70		3	m	16, 13, 12		M04		[1.66 .. 1.78]
9	1.79		1	dt	15			M03		[1.79 .. 1.85]
10	1.93		1	m	7			M02		[1.91 .. 2.01]
11	3.55		2	m	11, 6			M01		[3.45 .. 3.59]

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	2	0.63			M11
2	19	0.72			M10
3	18	0.84			M09
4	16	0.90			M08
5	4	0.90			M08
6	13	0.90			M08
7	15	0.90			M08
8	9	1.09			M07
9	8	1.31			M06
10	10	1.31			M06
11	17	1.31			M06
12	14	1.31			M06
13	12	1.31			M06
14	3	1.31			M06
15	7	1.31			M06
16	10	1.58			M05
17	8	1.58			M05
18	14	1.58			M05
19	16	1.70			M04
20	13	1.70			M04
21	12	1.70			M04
22	15	1.79			M03
23	7	1.93			M02
24	11	3.55			M01
25	6	3.55			M01


 


# HMDB00493 (5a-Androstane-3b,17b-diol) 2D HSQC Peaklist:
     #  F2[ppm]           F1[ppm]     Intensity  
     1  3.5487           82.4940      4275588.14
     2  3.5010           71.6987      3343789.72
     3  1.9635           30.5435      2238839.03
     4  1.8131           37.9998      1837727.53
     5  1.7544           32.1578      2088143.14
     6  1.7304           38.1848      1910159.91
     7  1.6897           32.8605      2161085.72
     8  1.5785           21.8998      2073106.88
     9  1.5783           24.2389      2046722.63
    10  1.5141           38.8431      2679142.30
    11  1.4478           30.5432      1835425.27
    12  1.4198           36.8566      2274443.11
    13  1.3955           32.1569      1322711.13
    14  1.3200           21.9006      1457687.45
    15  1.2853           29.8782      6631213.14
    16  1.2732           38.8427      1456519.34
    17  1.2390           24.2398      1626745.98
    18  1.1151           46.1510      2282075.86
    19  1.0216           37.9990      2385444.31
    20  0.9857           38.1832      3090300.48
    21  0.9502           52.3163      2579563.66
    22  0.8960           32.8616      1875181.52
    23  0.8430           12.7706      2272125.08
    24  0.7251           11.6208      4744543.72
    25  0.6509           56.1011      3189544.91

 


