# HMDB02869 (Campesterol) HNMR Peaklists:
Table of Peaks
No.	(ppm)	Height
    12      1.5244           32.4770      2395732.94
    13      1.4517           31.8802      4013978.63
    14      1.3608           36.0049      3028691.19
    15      1.3547           33.8632       360269.50
    16      1.2664           28.2352      2020413.94
    17      1.2050           30.2262      2276255.00
    18      1.2000           38.8502      3539758.75
    19      1.1547           39.8457      3930853.25
    20      1.1076           30.2273      1494907.81
    21      1.1020           56.1159      4563157.38
    22      1.0788           37.1853      4029371.63
    23      1.0737           24.2404      1387219.75
    24      1.0459           33.8652      1216440.38
    25      1.0083           19.4179     16183328.69
    26      0.9902           56.7811      2877426.25
    27      0.9262           50.1352      5235447.06
    28      0.9145           18.9293     10286055.00
    29      0.8505           20.2606     14313266.63
    30      0.8064           18.2803      5406587.00
    31      0.7743           15.3525      1511229.19
    32      0.6800           11.9788      2983439.75

 


